Datalog version 1.0,Metric,ID=75 mm,OD=80 mm,  64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Commands,Supply V,Supply I,Restart,M1 pos,M1 speed,M1 I,M1 status,M1 error,M2 pos,M2 speed,M2 I,M2 status,M2 error,M3 pos,M3 speed,M3 I,M3 status,M3 error,M4 pos,M4 speed,M4 I,M4 status,M4 error,Temp int,Temp ext,Noise,Head V,30 V,Stretch,Torque,M1 err,M2 err,M3 err,M4 err,Debug, ,
Datalog version 1.0,Metric,ID=75 mm,OD=80 mm,  47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Commands,Supply V,Supply I,Restart,M1 pos,M1 speed,M1 I,M1 status,M1 error,M2 pos,M2 speed,M2 I,M2 status,M2 error,M3 pos,M3 speed,M3 I,M3 status,M3 error,M4 pos,M4 speed,M4 I,M4 status,M4 error,Temp int,Temp ext,Noise,Head V,30 V,Stretch,Torque,M1 err,M2 err,M3 err,M4 err,Debug, ,
2012/11/01,,Ack res ,155,  85,R,,,,0,,,,,0,,,,,0,,,,,0,,19,,80,110,30,,,,,,,,,
,09:22:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,M1 speed 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,09:22:07,,196,  86,R,,,,0,,,,,0,,,,,0,,,,,0,,,21,69,165,30,,,,,,,,,
,09:22:07,,229,  85,R,,,,0,,,,,0,,,,,0,,,,,0,,,,69,204,30,,,1,,,,Test cutter speed = 0,,
,,M2 speed 0,,  84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,09:22:08,,,  82,R,,,,0,,,,,0,,,,,0,,,,,0,,22,,69,224,30,,,,,,,,, 
,09:22:08,,242,  81,R,,,,0,,,,,0,,,,,0,,,,,0,,,24,69,236,30,,,,,,,,,
,,M3 speed 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,09:22:09,,,  80,,,,,0,,,,,0,,,,,0,,,,,0,,,,70,236,30,,,,1,,,,, 
,,M4 speed 0,243,  80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test cutter speed = 0,, 
,09:22:09,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,232,30,,,,,1,,,, 
,09:22:10,,239,  79,,,,,0,,,,,0,,,,,0,,,,,0,,23,,67,236,30,,,,,,,,, 
,09:22:10,,239,  79,,,,,0,,,,,0,,,,,0,,,,,0,,,23,68,236,30,,,,,,,,, 
,,Force M1 uplink ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,09:22:11,,242,  81,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,236,30,,,,,,1,,,
,,Force M2 uplink ,239,  80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:22:12,,,  80,,,,,0,,,,,0,,,,,0,,,,,0,,24,,69,236,30,,,,,,,,,
,09:22:12,,243,  80,,122.42,0,0,0,,,,,,,,,,,,,,,,,,,69,236,30,,,,,,,,,
,,Force M3 uplink ,,  80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,09:22:13,,241,  80,,,,,,,6592,0,0,0,,,,,,,,,,,,,22,69,236,30,,,,,,,,,
,,Force M4 uplink ,243,  81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:22:14,,,  80,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,236,30,,,1,,,,,, 
,09:22:14,,239,  80,,,,,,,,,,,,133.74,0,0,0,,,,,,,,,69,236,30,,,,,,,,,
,09:22:15,,239,  80,,,,,,,,,,,,,,,,,240.89,0,0,0,,24,,68,236,30,,,,,,,,,
,09:22:16,,243,  81,,,,,0,,,,,0,,,,,0,,,,,0,,,20,69,232,30,,,,,,,,, 
,09:22:16,,240,  80,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,236,30,,,,1,,,,,
,09:22:17,,241,  81,,,,,0,,,,,0,,,,,0,,,,,0,,24,,69,236,30,,,,,,,,, 
,09:22:17,,240,  80,,,,,0,,,,,0,,,,,0,,,,,0,,,15,69,236,30,,,,,,,,, 
,09:22:18,,241,  81,,,,,0,,,,,0,,,,,0,,,,,0,,,,68,236,30,,,,,1,,,,
,09:22:19,,239,  80,,,,,0,,,,,0,,,,,0,,,,,0,,23,,69,232,30,,,,,,,,, 
,09:22:19,,238,  81,,,,,0,,,,,0,,,,,0,,,,,0,,,22,69,236,30,,,,,,,,, 
,09:22:20,,240,  80,,,,,0,,,,,0,,,,,0,,,,,0,,,,68,236,30,,,,,,1,,,
,09:22:21,,240,  81,,,,,0,,,,,0,,,,,0,,,,,0,,19,,69,236,30,,,,,,,,, 
,09:22:21,,239,  81,,,,,0,,,,,0,,,,,0,,,,,0,,,21,70,236,30,,,,,,,,, 
,09:22:22,,239,  80,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,236,30,,,1,,,,,,
