Date,Time,Commands,Supply V,Supply I,Restart,Clamp  pos,Clamp  speed,Clamp  I,Clamp  status,Clamp  error,Cutter Counts,Cutter speed,Cutter I,Cutter status,Cutter error,Tip Diameter,Radial speed,Radial I,Radial status,Radial error,Head Rotation,Rotate speed,Rotate I,Rotate status,Rotate error,Temp int,Temp ext,Noise,Head V,30 V,Stretch,Torque,Clamp SPI errors,Cutter SPI errors,Radial SPI errors,Rotate SPI errors,Debug
01/11/2012,10:26:16,,318,77,,,,,0,,,,,0,,,,,0,,,,,0,,,19,69,318,30,,,,,,,
01/11/2012,10:26:17,,318,77,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,318,30,,,,9,,,Test cutter speed = 0
01/11/2012,10:26:17,,321,80,,,,,0,,6592,400,0,16,,,,,0,,,,,0,,,,69,318,30,,,,,,,Test cutter speed = 0
01/11/2012,10:26:18,,322,83,,,,,0,,6592,400,9,16,,,,,0,,,,,0,,27,,69,314,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:19,,330,91,,,,,0,,6592,400,27,16,,,,,0,,,,,0,,,,69,310,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:19,,321,99,,,,,0,,6592,400,54,16,,,,,0,,,,,0,,,23,69,306,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:20,,330,111,,,,,0,,6592,400,100,16,,,,,0,,,,,0,,,,69,310,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:20,,317,125,,,,,0,,6592,400,154,16,,,,,0,,,,,0,,,,68,298,30,,,,,1,,Test cutter speed = 400
01/11/2012,10:26:21,,321,131,,,,,0,,6592,400,254,16,,,,,0,,,,,0,,,,69,302,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:22,,321,134,,,,,0,,6592,400,254,16,,,,,0,,,,,0,,27,,69,294,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:22,,319,140,,,,,0,,6592,400,218,16,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:23,,320,145,,,,,0,,6592,600,227,16,,,,,0,,,,,0,,,22,69,298,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:24,,319,152,,,,,0,,6592,1000,227,16,,,,,0,,,,,0,,,,68,290,30,,,,,,,Test cutter speed = 600
01/11/2012,10:26:24,,325,155,,,,,0,,6656,1400,254,16,,,,,0,,,,,0,,,,69,294,30,,,,,,1,Test cutter speed = 1000
01/11/2012,10:26:25,,330,162,,,,,0,,6656,1600,245,16,,,,,0,,,,,0,,,,70,290,30,,,,,,,Test cutter speed = 1400
01/11/2012,10:26:25,,318,164,,,,,0,,6656,2000,227,16,,,,,0,,,,,0,,27,,69,279,30,,,,,,,Test cutter speed = 1600
